date,mkt.rf,smb,hml,rf
20150123,-0.0047,0.0051,-0.0082,0
20150126,0.0042,0.0057,-5.00E-04,0
20150127,-0.0121,0.0067,0.0023,0
20150128,-0.0139,-8.00E-04,-0.0077,0
20150129,0.0098,0.0024,0,0
20150130,-0.013,-0.0077,3.00E-04,0
20150202,0.0125,-0.0046,0.01,0
20150203,0.0149,0.0017,0.0051,0
20150204,-0.0035,-7.00E-04,-0.0021,0
20150205,0.011,0.0047,-0.0016,0
20150206,-0.002,7.00E-04,0.0038,0
20150209,-0.0046,-0.0039,9.00E-04,0
20150210,0.0104,-0.0031,-0.007,0
20150211,3.00E-04,-0.0011,-0.0033,0
20150212,0.01,0.0016,-9.00E-04,0
20150213,0.0047,0.0018,-0.0029,0
20150217,0.0017,-2.00E-04,0,0
20150218,3.00E-04,0.0029,-0.0081,0
20150219,-1.00E-04,0.0027,-0.0035,0
20150220,0.0061,-0.004,-0.0026,0
20150223,-8.00E-04,4.00E-04,-0.0038,0
20150224,0.0032,-4.00E-04,0.0069,0
20150225,2.00E-04,0.0022,-0.0051,0
20150226,-8.00E-04,0.0062,-0.0049,0
20150227,-0.0036,-0.0021,0.0022,0
20150302,0.0062,0.0023,-0.0043,0
20150303,-0.0043,-0.0031,0.003,0
20150304,-0.0041,9.00E-04,-0.004,0
20150305,0.0015,0.0024,-0.0043,0
20150306,-0.0129,0.0027,0.0043,0
20150309,0.0037,8.00E-04,-2.00E-04,0
20150310,-0.0163,0.0042,-0.0047,0
20150311,-4.00E-04,0.0057,0.0052,0
20150312,0.0128,0.0038,0.005,0
20150313,-0.0057,0.0021,-3.00E-04,0
20150316,0.0123,-0.0077,-0.0042,0
20150317,-0.002,0.0054,-2.00E-04,0
20150318,0.0108,-0.0051,0,0
20150319,-0.0036,0.0087,-0.011,0
20150320,0.0081,-0.0014,0.0054,0
20150323,-0.0019,0.0021,0.0023,0
20150324,-0.0051,0.0058,-0.0028,0
20150325,-0.0156,-0.0098,0.0104,0
20150326,-0.0022,0.0011,-6.00E-04,0
20150327,0.0032,0.005,-0.007,0
20150330,0.0124,1.00E-04,-4.00E-04,0
20150331,-0.0075,0.0042,0.0037,0
20150401,-0.0038,0.0034,0.0042,0
20150402,0.0035,-8.00E-04,0.0031,0
20150406,0.0061,-0.0027,-0.0015,0
20150407,-0.0022,-0.0019,-0.0016,0
20150408,0.0037,0.0053,-0.0072,0
20150409,0.0041,-0.007,-6.00E-04,0
20150410,0.0049,-7.00E-04,-0.0028,0
20150413,-0.0038,0.0049,0.0023,0
20150414,0.0011,-0.0019,0.0019,0
20150415,0.0057,0.0025,0.0032,0
20150416,-8.00E-04,-8.00E-04,-0.002,0
20150417,-0.0123,-0.0046,0.0023,0
20150420,0.0095,0.0016,-0.0027,0
20150421,-0.001,0.0019,-0.0076,0
20150422,0.0046,-0.0037,0.0016,0
20150423,0.0029,0.0029,-0.0022,0
20150424,0.0017,-0.0051,-0.0028,0
20150427,-0.0054,-0.007,0.0056,0
20150428,0.0027,0.0021,0.0102,0
20150429,-0.0038,-0.0074,0.0074,0
20150430,-0.0111,-0.0106,0.0077,0
20150501,0.0101,-0.0031,-0.0063,0
20150504,0.0032,3.00E-04,0.0025,0
20150505,-0.0119,-0.0015,0.0051,0
20150506,-0.0031,0.0064,-0.0013,0
20150507,0.0039,4.00E-04,-0.004,0
20150508,0.0121,-0.0057,-0.0012,0
20150511,-0.0039,0.0067,-3.00E-04,0
20150512,-0.0027,0,7.00E-04,0
20150513,1.00E-04,0,2.00E-04,0
20150514,0.0101,-0.0011,-0.0035,0
20150515,5.00E-04,-0.0024,-0.0021,0
20150518,0.0044,0.0074,-9.00E-04,0
20150519,-9.00E-04,-0.0012,0.0023,0
20150520,-5.00E-04,0.0022,-0.0013,0
20150521,0.0023,-0.003,-2.00E-04,0
20150522,-0.0022,-0.0012,-0.0014,0
20150526,-0.0101,-2.00E-04,-1.00E-04,0
20150527,0.0093,0.0033,-0.0035,0
20150528,-0.0012,0.001,0.0013,0
20150529,-0.0058,2.00E-04,5.00E-04,0
20150601,0.0017,-4.00E-04,-0.0022,0
20150602,-2.00E-04,0.0032,0.0033,0
20150603,0.0039,0.0086,-0.0024,0
20150604,-0.0088,-0.001,-1.00E-04,0
20150605,6.00E-04,0.008,5.00E-04,0
20150608,-0.0066,5.00E-04,3.00E-04,0
20150609,2.00E-04,-0.0031,0.0035,0
20150610,0.012,0.0015,0.0019,0
20150611,0.0021,-0.001,-0.0011,0
20150612,-0.0063,0.0033,0.0013,0
20150615,-0.0045,0.0011,-0.0013,0
20150616,0.0057,0.001,0,0
20150617,0.0016,-0.0029,-0.0063,0
20150618,0.0099,0.0021,-0.0043,0
20150619,-0.0043,0.0056,-0.002,0
20150622,0.0063,8.00E-04,-6.00E-04,0
20150623,0.0012,0.0024,0.0027,0
20150624,-0.0079,-0.0011,0.0013,0
20150625,-0.0025,0.0036,-0.002,0
20150626,-6.00E-04,-0.0023,0.0045,0
20150629,-0.0215,-0.0042,0.0018,0
20150630,0.0033,0.0031,-0.0067,0
20150701,0.006,-0.0077,-6.00E-04,0
20150702,-0.0011,-0.0056,-4.00E-04,0
20150706,-0.0037,0.0016,-0.0055,0
20150707,0.0053,-0.0044,-0.0025,0
20150708,-0.0168,-3.00E-04,8.00E-04,0
20150709,0.0029,0.0016,-3.00E-04,0
20150710,0.0124,0.0023,-0.0055,0
20150713,0.0114,-7.00E-04,-0.0041,0
20150714,0.0047,0.0015,0.0012,0
20150715,-0.0019,-0.0081,-8.00E-04,0
20150716,0.0078,-0.0017,-0.0062,0
20150717,5.00E-04,-0.006,-0.0064,0
20150720,-1.00E-04,-0.0072,-0.0057,0
20150721,-0.0047,3.00E-04,0.003,0
20150722,-0.0018,0.0018,0.0019,0
20150723,-0.006,-0.0036,-0.0035,0
20150724,-0.0108,-0.0061,-2.00E-04,0
20150727,-0.0074,-0.0025,8.00E-04,0
20150728,0.0123,-0.0034,-0.0012,0
20150729,0.0074,-0.0036,0.0052,0
20150730,0.0012,0.0017,-0.0025,0
20150731,-0.0015,0.0082,-0.0099,0
20150803,-0.0035,-0.0033,-0.0017,0
20150804,-0.0014,9.00E-04,-0.0019,0
20150805,0.0036,1.00E-04,-0.0045,0
20150806,-0.0088,-0.0053,0.0199,0
20150807,-0.0036,-0.0046,-0.0035,0
20150810,0.0132,0.0016,0.0069,0
20150811,-0.0098,-8.00E-04,0.0043,0
20150812,7.00E-04,-9.00E-04,-0.0028,0
20150813,-0.0014,-0.0043,1.00E-04,0
20150814,0.0043,0.0013,0.0044,0
20150817,0.006,0.0044,-0.0087,0
20150818,-0.0035,-0.0063,0.0035,0
20150819,-0.0085,-0.0012,-0.0022,0
20150820,-0.0224,-0.0028,0.006,0
20150821,-0.0295,0.0182,0.0014,0
20150824,-0.039,0.0034,-0.0043,0
20150825,-0.0117,0.0069,-0.0061,0
20150826,0.0368,-0.0135,-0.0038,0
20150827,0.024,-0.0068,0.006,0
20150828,0.0023,0.0097,8.00E-04,0
20150831,-0.0074,0.0077,0.0142,0
20150901,-0.0291,0.0032,-0.005,0
20150902,0.0181,-0.0016,-0.0093,0
20150903,0.0017,-0.0032,0.0072,0
20150904,-0.0139,0.009,-0.0057,0
20150908,0.0252,-0.0037,-0.0056,0
20150909,-0.0134,0.0016,0.0011,0
20150910,0.0049,-0.0013,-0.0032,0
20150911,0.0044,-0.002,-0.007,0
20150914,-0.0041,3.00E-04,1.00E-04,0
20150915,0.0122,-0.0019,0.0024,0
20150916,0.0084,2.00E-04,0.0044,0
20150917,-0.0017,0.0089,-0.0149,0
20150918,-0.0162,0.0046,-0.0096,0
20150921,0.0036,-0.0094,0.0121,0
20150922,-0.0129,-0.0027,0.0014,0
20150923,-0.0027,-0.0017,-0.0014,0
20150924,-0.0036,0.0025,0.0056,0
20150925,-0.0022,-0.0166,0.0187,0
20150928,-0.0263,-0.0027,0.0117,0
20150929,-7.00E-04,-0.0072,0.0072,0
20150930,0.0188,-0.0043,-0.0048,0
20151001,0.0013,-0.0045,-4.00E-04,0
20151002,0.0148,0.0034,-0.0084,0
20151005,0.0193,0.0062,0.0077,0
20151006,-0.0043,-0.0023,0.0172,0
20151007,0.0094,0.007,-0.0024,0
20151008,0.0084,0.0024,0.0077,0
20151009,0.0012,0.0021,-0.0108,0
20151012,6.00E-04,-0.004,-7.00E-04,0
20151013,-0.0074,-0.0073,0.0069,0
20151014,-0.006,-0.0026,-3.00E-04,0
20151015,0.0156,0.0065,-0.0015,0
20151016,0.0036,-0.0049,-0.0034,0
20151019,0,0.0016,-0.0071,0
20151020,-0.0015,2.00E-04,0.0121,0
20151021,-0.0074,-0.0088,-0.0018,0
20151022,0.015,-0.0078,0.0047,0
20151023,0.0109,-1.00E-04,-0.006,0
20151026,-0.002,-0.0035,-0.0071,0
20151027,-0.0042,-0.0087,-0.0088,0
20151028,0.0143,0.0141,0.0064,0
20151029,-0.002,-0.0088,0.001,0
20151030,-0.0041,0.0022,-0.0054,0
20151102,0.0125,0.0085,-2.00E-04,0
20151103,0.0032,0.0045,0.0022,0
20151104,-0.0026,0.0033,-0.0033,0
20151105,-8.00E-04,3.00E-04,0.0046,0
20151106,0.0014,0.0081,0.0027,0
20151109,-0.0095,-0.0021,-5.00E-04,0
20151110,0.0013,0,0.0027,0
20151111,-0.0043,-0.0052,-0.0018,0
20151112,-0.0145,-0.0051,-0.0045,0
20151113,-0.0106,0.003,0.0038,0
20151116,0.0139,-0.0058,0.0046,0
20151117,-0.0011,-0.0012,-0.0066,0
20151118,0.0161,0,-9.00E-04,0
20151119,-0.0013,-0.0026,-0.0011,0
20151120,0.0035,0.0043,-0.0041,0
20151123,-1.00E-04,0.0066,-0.0035,0
20151124,0.0021,0.007,0.0026,0
20151125,9.00E-04,0.0087,-0.0055,0
20151127,9.00E-04,0.0022,-0.0029,0
20151130,-0.0047,0.0014,0.0069,0
20151201,0.0097,-0.0066,0.0024,0
20151202,-0.0101,0.0025,-0.007,0
20151203,-0.015,-0.0022,0.0043,0
20151204,0.0186,-0.0104,-0.0052,0
20151207,-0.0084,-0.0086,-0.0066,0
20151208,-0.0059,0.0048,-0.0123,0
20151209,-0.0083,-0.0033,0.0041,0
20151210,0.003,0.0011,-0.0022,0
20151211,-0.0203,-0.0022,-6.00E-04,0
