yyyy,public,all_stock,horz,domestic,relsize,bidder_mtb,bidder_lev,bidder_tang,bidder_cash,bidder_rd,rate,lbidder_size,med_mtb_sect
2010,0,0,0,1,0.035676252,0.8543455,0.030053668,0.15205374,0.12348519,0,0.0502,6.8448153,1.3659575
2011,0,0,0,1,0.10994764,0.89032996,0.13469607,0.16034751,0.16960803,0,0.052199997,6.8617115,1.05316
2011,0,0,0,1,0.091423951,0.89032996,0.13469607,0.16034751,0.16960803,0,0.0493,7.1196356,1.05316
2011,0,0,0,1,0.072078504,0.89032996,0.13469607,0.16034751,0.16960803,0,0.049600001,7.0219765,1.05316
2013,0,0,0,1,0.31134462,1.3955654,0.32148403,0.04266496,0.12600201,0,0.0462,8.5446138,1.7318819
1994,0,0,0,1,0.70836437,1.093384,0.020290732,1.1923581,0.14380173,0,0.080699995,3.3043835,1.4180114
1994,0,0,0,1,0.69083697,1.2739568,0,0.52108938,0.06830927,0,0.0748,2.9192965,1.4180114
1994,0,0,1,1,0.22322758,2.9033976,0,0.46969926,0.039462745,0.001152335,0.084600002,4.4037285,1.4180114
1995,1,1,1,1,0.84807909,1.5713949,0.29137692,0.28606594,0.10237301,0.009286497,0.072999999,5.1761498,1.6073159
1997,0,1,0,1,0.070843704,2.3686986,0.009691286,0.23188746,0.22383744,0,0.075800002,4.1058941,1.8899703
1997,0,1,0,1,0.46872976,2.3686986,0.009691286,0.23188746,0.22383744,0,0.071400002,4.109736,1.8899703
1997,0,1,0,1,0.037189603,2.3686986,0.009691286,0.23188746,0.22383744,0,0.075800002,4.0618343,1.8899703
2008,0,0,0,1,0.19760275,1.5186002,0.22550717,0.27282628,0.07912498,0,0.0612,6.7753663,1.5354713
2009,0,0,0,1,0.53359681,1.394712,0.10691403,0.23621398,0.2895104,0,0.052600004,5.5333896,1.7208223
2011,0,0,0,0,0.018769616,1.2947624,0.23803861,0.21148694,0.10725994,0,0.049600001,7.3733745,1.4336326
2012,0,0,0,1,0.10970464,1.0764723,0.14111198,0.75580096,0.16603577,0,0.037999999,7.077498,1.7150139
2013,0,0,1,0,0.062254902,1.4355088,0.22688454,0.26215628,0.01095628,0,0.0427,7.6207051,1.817845
2014,0,0,0,0,0.0762894,1.5178014,0.26216435,0.29573256,0.007852686,0,0.0416,7.9345136,1.7909204
